SURVEYR,BYCOND,descrip_E,descrip_F,DEMCODE,QUESTION,answer1,answer2,answer3,answer4,answer5,answer6,answer7,MOST_POSITIVE_OR_LEAST_NEGATIVE,NEUTRAL_OR_MIDDLE_CATEGORY,MOST_NEGATIVE_OR_LEAST_POSITIVE,AGREE,SCORE5,SCORE100,ANSCOUNT,INDICATORID,SUBINDICATORID,FACTORS,QUES_TYPE
2020,Q105A = 011,AS,AS,1227,Q01,46,40,3,8,2,0,0,86,3,10,86,4.2,80,820,4,14,Occupation Level,1
2020,OCCLEVEL = 056,AS-01,AS-01,1229,Q01,48,34,5,11,2,0,0,81,5,13,81,4.13,78,128,4,14,Occupation Level,1
2020,OCCLEVEL = 057,AS-02,AS-02,1230,Q01,48,42,3,4,3,0,0,90,3,7,90,4.28,82,226,4,14,Occupation Level,1
2020,OCCLEVEL = 058,AS-03,AS-03,1231,Q01,42,43,3,11,1,0,0,85,3,12,85,4.13,78,149,4,14,Occupation Level,1
2020,OCCLEVEL = 059,AS-04,AS-04,1232,Q01,47,40,4,8,2,0,0,87,4,10,87,4.22,80,156,4,14,Occupation Level,1
2020,OCCLEVEL = 060,AS-05,AS-05,1233,Q01,43,46,1,7,2,0,0,89,1,10,89,4.2,80,82,4,14,Occupation Level,1
2020,OCCLEVEL = 061,AS-06,AS-06,1234,Q01,42,39,5,13,0,0,0,82,5,13,82,4.11,78,38,4,14,Occupation Level,1
2020,OCCLEVEL = 062,AS-07,AS-07,1235,Q01,,,,,,,,,,,,,,,4,14,Occupation Level,1
2020,OCCLEVEL = 063,AS-08,AS-08,1236,Q01,,,,,,,,,,,,,,,4,14,Occupation Level,1
2020,Q105A = 015,BI,BI,1258,Q01,35,49,3,11,2,0,0,84,3,13,84,4.03,76,757,4,14,Occupation Level,1
2020,OCCLEVEL = 083,BI-02,BI-02,1260,Q01,27,56,3,12,2,0,0,83,3,14,83,3.95,74,59,4,14,Occupation Level,1
2020,OCCLEVEL = 084,BI-03,BI-03,1261,Q01,43,44,3,8,2,0,0,87,3,10,87,4.18,79,239,4,14,Occupation Level,1
2020,OCCLEVEL = 085,BI-04,BI-04,1262,Q01,32,50,4,12,2,0,0,82,4,14,82,3.97,74,354,4,14,Occupation Level,1
2020,OCCLEVEL = 086,BI-05,BI-05,1263,Q01,30,54,1,14,1,0,0,84,1,15,84,3.98,74,94,4,14,Occupation Level,1
2020,Q105A = 016,CH,CH,1264,Q01,34,51,6,7,2,0,0,85,6,9,85,4.09,77,206,4,14,Occupation Level,1
2020,OCCLEVEL = 088,CH-02,CH-02,1266,Q01,38,51,8,2,2,0,0,89,8,3,89,4.23,81,65,4,14,Occupation Level,1
2020,OCCLEVEL = 089,CH-03,CH-03,1267,Q01,39,48,3,8,3,0,0,87,3,11,87,4.12,78,75,4,14,Occupation Level,1
2020,OCCLEVEL = 090,CH-04,CH-04,1268,Q01,30,49,7,12,2,0,0,79,7,14,79,3.93,73,43,4,14,Occupation Level,1
2020,OCCLEVEL = 091,CH-05,CH-05,1269,Q01,18,64,9,9,0,0,0,82,9,9,82,3.91,73,22,4,14,Occupation Level,1
2020,Q105A = 021,CM,CM,1270,Q01,,,,,,,,,,,,,,,4,14,Occupation Level,1
2020,Q105A = 023,CR,CR,1281,Q01,54,33,4,7,2,0,0,87,4,9,87,4.29,82,166,4,14,Occupation Level,1
2020,OCCLEVEL = 101,CR-01,CR-01,1282,Q01,,,,,,,,,,,,,,,4,14,Occupation Level,1
2020,OCCLEVEL = 103,CR-03,CR-03,1284,Q01,,,,,,,,,,,,,,,4,14,Occupation Level,1
2020,OCCLEVEL = 104,CR-04,CR-04,1285,Q01,54,34,3,5,3,0,0,88,3,9,88,4.3,82,91,4,14,Occupation Level,1
2020,OCCLEVEL = 105,CR-05,CR-05,1286,Q01,53,31,6,9,1,0,0,84,6,10,84,4.26,81,70,4,14,Occupation Level,1
2020,Q105A = 024,CS,CS,1288,Q01,45,43,3,8,2,0,0,88,3,9,88,4.21,80,184,4,14,Occupation Level,1
2020,OCCLEVEL = 107,CS-01,CS-01,1289,Q01,42,35,12,12,0,0,0,77,12,12,77,4.08,77,26,4,14,Occupation Level,1
2020,OCCLEVEL = 108,CS-02,CS-02,1290,Q01,47,45,0,6,2,0,0,92,0,8,92,4.3,83,53,4,14,Occupation Level,1
2020,OCCLEVEL = 109,CS-03,CS-03,1291,Q01,45,45,2,7,2,0,0,90,2,9,90,4.24,81,58,4,14,Occupation Level,1
2020,OCCLEVEL = 110,CS-04,CS-04,1292,Q01,41,38,7,14,0,0,0,79,7,14,79,4.07,77,29,4,14,Occupation Level,1
2020,OCCLEVEL = 111,CS-05,CS-05,1293,Q01,50,43,0,0,7,0,0,93,0,7,93,4.29,82,14,4,14,Occupation Level,1
2020,Q105A = 025,CX,CX,1294,Q01,,,,,,,,,,,,,,,4,14,Occupation Level,1
2020,OCCLEVEL = 114,CX-03,CX-03,1297,Q01,,,,,,,,,,,,,,,4,14,Occupation Level,1
2020,Q105A = 033,EC,EC,1335,Q01,33,49,5,11,2,0,0,81,5,14,81,3.98,75,789,4,14,Occupation Level,1
2020,OCCLEVEL = 146,EC-02,EC-02,1337,Q01,20,71,3,6,0,0,0,91,3,6,91,4.06,76,35,4,14,Occupation Level,1
2020,OCCLEVEL = 147,EC-03,EC-03,1338,Q01,41,52,3,0,3,0,0,93,3,3,93,4.28,82,29,4,14,Occupation Level,1
