SURVEYR,BYCOND,descrip_E,descrip_F,DEMCODE,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,ANSWER5,ANSWER6,ANSWER7,MOST_POSITIVE_OR_LEAST_NEGATIVE,NEUTRAL_OR_MIDDLE_CATEGORY,MOST_NEGATIVE_OR_LEAST_POSITIVE,AGREE,SCORE5,SCORE100,ANSCOUNT,INDICATORID,SUBINDICATORID,FACTORS,QUES_TYPE
2020,D118I = 2,"Persons with a disability, cognitive disability not selected","Personnes en situation de handicap, trouble cognitif non sélectionnée",1108,Q01,30,45,7,14,3,0,0,76,7,18,76,3.85,71,339,4,14,Persons with a disability,1
2022,D118J = 1,"Persons with a disability, intellectual disability","Personnes en situation de handicap, handicap intellectuel",1109,Q01,32,42,6,15,0,5,0,78,7,16,78,3.96,74,20,4,14,Persons with a disability,1
2020,D118J = 1,"Persons with a disability, intellectual disability","Personnes en situation de handicap, handicap intellectuel",1109,Q01,,,,,,,,,,,,,,,4,14,Persons with a disability,1
2022,D118J = 2,"Persons with a disability, intellectual disability not selected","Personnes en situation de handicap, handicap intellectuel non sélectionnée",1110,Q01,35,43,4,12,6,0,0,78,4,18,78,3.89,72,665,4,14,Persons with a disability,1
2020,D118J = 2,"Persons with a disability, intellectual disability not selected","Personnes en situation de handicap, handicap intellectuel non sélectionnée",1110,Q01,,,,,,,,,,,,,,,4,14,Persons with a disability,1
2022,D118K = 1,"Persons with a disability, other disability","Personnes en situation de handicap, autre handicap",1111,Q01,58,36,0,6,0,0,0,94,0,6,94,4.47,87,10,4,14,Persons with a disability,1
2020,D118K = 1,"Persons with a disability, other disability","Personnes en situation de handicap, autre handicap",1111,Q01,26,48,7,17,2,0,0,74,7,19,74,3.79,70,56,4,14,Persons with a disability,1
2022,D118K = 2,"Persons with a disability, other disability not selected","Personnes en situation de handicap, autre handicap non sélectionnée",1112,Q01,34,43,5,12,5,0,0,78,5,18,78,3.88,72,675,4,14,Persons with a disability,1
2020,D118K = 2,"Persons with a disability, other disability not selected","Personnes en situation de handicap, autre handicap non sélectionnée",1112,Q01,31,44,7,15,3,0,0,75,7,18,75,3.85,71,338,4,14,Persons with a disability,1
2022,D118 = 2,Not a person with a disability,Pas personnes en situation de handicap,1113,Q01,40,45,3,9,3,0,0,84,3,12,84,4.09,77,4550,4,14,Persons with a disability,1
2020,D118 = 2,Not a person with a disability,Pas personnes en situation de handicap,1113,Q01,39,46,4,9,2,0,0,85,4,11,85,4.11,78,4807,4,14,Persons with a disability,1
2022,D119 = 1,Indigenous,Autochtone,1114,Q01,40,45,4,10,2,0,0,84,4,12,84,4.09,77,100,4,14,Indigenous and Non-Indigenous Identity,1
2020,D119 = 1,Indigenous,Autochtone,1114,Q01,36,42,4,14,5,0,0,78,4,19,78,3.9,72,98,4,14,Indigenous and Non-Indigenous Identity,1
2022,D119A = 1,First Nations,Premières Nations,1115,Q01,40,42,4,8,6,0,0,82,4,14,82,4.03,76,40,4,14,Indigenous and Non-Indigenous Identity,1
2020,D119A = 1,First Nations,Premières Nations,1115,Q01,,,,,,,,,,,,,,,4,14,Indigenous and Non-Indigenous Identity,1
2022,D119B = 1,Inuk (Inuit),Inuk (Inuit),1116,Q01,X,X,X,X,X,X,X,X,X,X,X,X,X,,4,14,Indigenous and Non-Indigenous Identity,1
2020,D119B = 1,Inuk (Inuit),Inuk (Inuit),1116,Q01,,,,,,,,,,,,,,,4,14,Indigenous and Non-Indigenous Identity,1
2022,D119C = 1,Métis,Métis,1117,Q01,39,47,1,11,1,0,0,86,1,13,86,4.11,78,55,4,14,Indigenous and Non-Indigenous Identity,1
2020,D119C = 1,Métis,Métis,1117,Q01,33,43,4,14,6,0,0,77,4,19,77,3.85,71,51,4,14,Indigenous and Non-Indigenous Identity,1
2022,D119 = 2,Non-Indigenous,Non-Autochtones,1118,Q01,39,44,3,10,3,0,0,83,3,13,83,4.06,77,5255,4,14,Indigenous and Non-Indigenous Identity,1
2020,D119 = 2,Non-Indigenous,Non-Autochtones,1118,Q01,38,46,4,10,2,0,0,85,4,12,85,4.1,77,5085,4,14,Indigenous and Non-Indigenous Identity,1
2022,D120_2 = 1,"Racialized, non-Indigenous population","Racisé, population non-autochtones",1119,Q01,42,43,3,9,3,0,0,85,3,12,85,4.12,78,1435,4,14,Racial Group,1
2022,D120_2 = 2,"Non-racialized, non-Indigenous population","Non-racisé, population non-autochtones",1120,Q01,38,45,4,10,4,0,0,83,4,13,83,4.05,76,3455,4,14,Racial Group,1
2022,D120_1 = 1,Black,Noir,1121,Q01,53,37,2,6,1,0,0,91,2,8,91,4.35,84,240,4,14,Racial Group,1
2022,D120_1 = 2,East/Southeast Asian,Est-asiatique / Asiatique du Sud-Est,1122,Q01,37,48,4,9,2,0,0,85,4,11,85,4.09,77,545,4,14,Racial Group,1
2022,D120_1 = 3,Latino/Latina/Latinx,Latino / Latina / Latinx,1123,Q01,36,49,6,7,1,0,0,86,6,9,86,4.12,78,70,4,14,Racial Group,1
2022,D120_1 = 4,Middle Eastern,Moyen-oriental,1124,Q01,45,39,1,11,3,0,0,84,1,14,84,4.12,78,210,4,14,Racial Group,1
2022,D120_1 = 5,South Asian,Sud-asiatique,1125,Q01,44,36,2,14,4,0,0,80,2,18,80,4.02,76,235,4,14,Racial Group,1
2022,D120_1 = 6,"Racialized group, not included elsewhere","Groupe racisé, non inclus ailleurs",1126,Q01,29,50,5,12,4,0,0,79,5,15,79,3.89,72,95,4,14,Racial Group,1
2022,D120_1 = 7,Multiple racialized groups,Groupes racisés multiples,1127,Q01,50,31,15,2,2,0,0,81,15,5,81,4.24,81,40,4,14,Racial Group,1
2022,D121 = 1,Eastern Africa,Afrique de l'Est,1128,Q01,61,36,1,1,0,0,0,97,1,1,97,4.57,89,65,4,14,Ethnic Region,1
2022,D121 = 2,Northern Africa,Afrique du Nord,1129,Q01,34,54,5,5,1,0,0,88,5,7,88,4.15,79,70,4,14,Ethnic Region,1
2022,D121 = 3,Western Africa,Afrique de l'Ouest,1130,Q01,59,23,3,9,5,0,0,82,3,14,82,4.22,81,50,4,14,Ethnic Region,1
2022,D121 = 5,Middle Africa,Afrique centrale,1132,Q01,68,27,3,3,0,0,0,95,3,3,95,4.6,90,30,4,14,Ethnic Region,1
2022,D121 = 6,Central America,Amérique centrale,1133,Q01,55,34,6,5,0,0,0,89,6,5,89,4.4,85,25,4,14,Ethnic Region,1
2022,D121 = 7,South America,Amérique du Sud,1134,Q01,37,56,0,5,2,0,0,93,0,7,93,4.21,80,40,4,14,Ethnic Region,1
2022,D121 = 8,Central Asia,Asie centrale,1135,Q01,X,X,X,X,X,X,X,X,X,X,X,X,X,,4,14,Ethnic Region,1
2022,D121 = 9,Eastern Asia,Asie de l'Est,1136,Q01,34,51,3,10,2,0,0,85,3,12,85,4.04,76,355,4,14,Ethnic Region,1
2022,D121 = 10,Southern Asia,Asie du Sud,1137,Q01,43,36,4,12,5,0,0,79,4,17,79,4.01,75,275,4,14,Ethnic Region,1
2022,D121 = 11,South-eastern Asia,Asie du Sud-Est,1138,Q01,50,41,0,6,2,0,0,91,0,9,91,4.31,83,95,4,14,Ethnic Region,1
2022,D121 = 12,Western Asia,Asie de l'Ouest,1139,Q01,45,37,1,13,4,0,0,82,1,17,82,4.06,77,130,4,14,Ethnic Region,1
2022,D121 = 13,Caribbean,Caraïbes,1140,Q01,37,50,2,11,0,1,0,87,2,11,87,4.14,79,95,4,14,Ethnic Region,1
2022,D121 = 14,Eastern Europe,Europe de l'Est,1141,Q01,41,45,1,10,3,0,0,86,1,12,86,4.12,78,255,4,14,Ethnic Region,1
2022,D121 = 15,Northern Europe,Europe du Nord,1142,Q01,38,46,3,10,4,0,0,84,3,13,84,4.05,76,810,4,14,Ethnic Region,1
2022,D121 = 16,Southern Europe,Europe du Sud,1143,Q01,44,39,3,9,4,0,0,83,3,14,83,4.09,77,190,4,14,Ethnic Region,1
2022,D121 = 17,Western Europe,Europe de l'Ouest,1144,Q01,33,47,5,11,5,0,0,79,5,16,79,3.91,73,555,4,14,Ethnic Region,1
2022,D121 = 18,Oceania,Océanie,1145,Q01,X,X,X,X,X,X,X,X,X,X,X,X,X,,4,14,Ethnic Region,1
2022,D121 = 19,Ethnic Origin not included elsewhere,Origine ethnique non incluse ailleurs,1146,Q01,42,40,2,12,4,0,0,82,2,16,82,4.04,76,255,4,14,Ethnic Region,1
2022,D121 = 20,"Two or more Ethnic Origins, Africa only","Deux origines ou plus, Afrique seulement",1147,Q01,X,X,X,X,X,X,X,X,X,X,X,X,X,,4,14,Ethnic Region,1
2022,D121 = 21,"Two or more Ethnic Origins, Asia only","Deux origines ou plus, Asie seulement",1148,Q01,24,59,11,6,0,0,0,84,11,6,84,4.02,76,20,4,14,Ethnic Region,1
2022,D121 = 22,"Two or more Ethnic Origins, Europe only","Deux origines ou plus, Europe seulement",1149,Q01,36,50,2,7,3,0,0,87,2,11,87,4.09,77,475,4,14,Ethnic Region,1
2022,D121 = 23,"Two or more Ethnic Origins, Other","Deux origines ou plus, Autre",1150,Q01,37,44,6,9,4,0,0,81,6,13,81,4,75,165,4,14,Ethnic Region,1
2022,D122 = 1,Identifies as 2SLGBTQIA+,S'identifie comme 2ELGBTQIA+,1151,Q01,33,46,4,12,4,0,0,80,4,16,80,3.93,73,370,4,14,2SLGBTQIA+ Identification,1
2022,D122A = 1,2SLGBTQIA+: Two-spirit,2ELGBTQIA+ : Deux esprits,1152,Q01,X,X,X,X,X,X,X,X,X,X,X,X,X,,4,14,2SLGBTQIA+ Identification,1
2022,D122B = 1,2SLGBTQIA+: Lesbian,2ELGBTQIA+ : Lesbienne,1153,Q01,45,44,2,6,2,0,0,89,2,9,89,4.23,81,40,4,14,2SLGBTQIA+ Identification,1
2022,D122C = 1,2SLGBTQIA+: Gay,2ELGBTQIA+ : Gaie,1154,Q01,29,48,5,14,5,0,0,77,5,18,77,3.83,71,115,4,14,2SLGBTQIA+ Identification,1
2022,D122D = 1,2SLGBTQIA+: Bisexual,2ELGBTQIA+ : Bisexuelle,1155,Q01,35,45,3,14,3,0,0,80,3,17,80,3.95,74,145,4,14,2SLGBTQIA+ Identification,1
2022,D122E = 1,2SLGBTQIA+: Transgender,2ELGBTQIA+ : Transgenre,1156,Q01,41,47,0,7,5,0,0,88,0,12,88,4.12,78,15,4,14,2SLGBTQIA+ Identification,1
2022,D122F = 1,2SLGBTQIA+: Queer,2ELGBTQIA+ : Queer,1157,Q01,35,51,1,12,1,0,0,86,1,13,86,4.06,77,75,4,14,2SLGBTQIA+ Identification,1
2022,D122G = 1,2SLGBTQIA+: Questioning,2ELGBTQIA+ : En questionnement,1158,Q01,30,63,0,4,3,0,0,93,0,7,93,4.13,78,25,4,14,2SLGBTQIA+ Identification,1
2022,D122H = 1,2SLGBTQIA+: Intersex,2ELGBTQIA+ : Intersexuée,1159,Q01,X,X,X,X,X,X,X,X,X,X,X,X,X,,4,14,2SLGBTQIA+ Identification,1
2022,D122I = 1,2SLGBTQIA+: Asexual,2ELGBTQIA+ : Asexuelle,1160,Q01,43,47,3,5,2,0,0,90,3,7,90,4.23,81,30,4,14,2SLGBTQIA+ Identification,1
